,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
18363,SPINK5,1.3302312891596004,INHBA-AS1,6.488839669278942,OR1A1,2.788215140815711,UPK1A,0.3440299852747771,DKFZp434D0513,0.09502503014683306,MPND,0.9132612668746897
18364,EIF1AY,1.330180235408815,OR52E2,6.48787158990221,L1CAM,2.7879254774195545,KRTAP9-8,0.34402399001564715,CLEC17A,0.09499548023010397,ABHD14B,0.9130824842859525
18365,PPP3R2,1.330141841466432,HOXC12,6.487458504121096,CXCL6,2.7875999358491046,FLJ30430,0.3440091631270007,RNF144B,0.09499094228792897,MTUS1,0.9129949784042588
18366,PSMD9,1.3299594465588507,PCDHA11,6.483865615432476,C11orf87,2.7874416409836673,CPA5,0.34397896425372326,MBL1P,0.09497054807780732,PIP4K2B,0.9129568260900737
18367,LOC440742,1.3298972537545604,AK124016,6.481772147688905,FSD2,2.7874409749354343,UTF1,0.3439334363767647,TMEM114,0.0949437588809552,MANF,0.9129554418716505
18368,HIPK1,1.3298361830882617,ATP11AUN,6.481168751824415,MPIG6B,2.786821200676689,CYMP,0.3439320841009844,SLC7A11,0.09493535132844866,FAAP20,0.9129425971439841
18369,GALNT7,1.3297379976254964,HES7,6.480801078938287,OR2B11,2.7861970253461887,PLEKHS1,0.34392177181008293,C8orf31,0.09492823722308583,GPR35,0.912864588166463
18370,ALB,1.3297027412186666,OR13A1,6.480071562913494,DIPK1B,2.785111426684437,ZIC3,0.3439097539709444,LRRC37A4P,0.09489070732555965,ZNF589,0.9127830046755134
18371,RPL41,1.3294156027162756,TEX13C,6.479004215740477,ZNF638,2.7848557374949072,UBE2QL1,0.34387892273807424,LINC01164,0.09488783728584442,KHDC1,0.9127429706251032
18372,CDCA5,1.32940273792318,SNORD54,6.479002421157031,LINC02398,2.7839868290359138,GALNS,0.34387112208360177,GOLGA2LY1,0.09487911231930389,ADAM22,0.9125831752308311
18373,GAL3ST3,1.3293810935130217,OR1B1,6.478745892389972,TLX1,2.783798116346014,CYP11B2,0.34385021607736643,SZT2,0.09487643452292764,ATXN10,0.912558214951198
18374,C15orf56,1.3292717662329405,LOC643072,6.477045349597999,LIMD1-AS1,2.783226673638402,LILRP2,0.34384292667701927,MCF2L,0.09487007867183259,RPAP3,0.9125413569781485
18375,ANKRD2,1.3292427526971429,OR2S2,6.476374287483095,OR2K2,2.782896106532604,BIRC8,0.34373146653704956,RBMY1E,0.09486440176018536,OSM,0.9124196989373466
18376,CMC2,1.3291292811572102,HTR3E,6.475747362676683,LINC00693,2.7827654764208956,AB529259,0.34372618881985767,POU3F2,0.09483151827054613,CPT1A,0.9124186688607403
18377,LOC100128668,1.329083693956222,USP32P2,6.4746166891586885,GPR174,2.782278101764022,HAPLN2,0.34370474201035117,OR2A7,0.09481307295277998,NOC3L,0.9122357405704632
18378,WARS1,1.3289881867481443,TRIM64C,6.47213990171389,C17orf104,2.7811051849087676,SEMA4D,0.34368554731327666,FRMD1,0.09480554679984554,OR9Q1,0.9122101776572252
18379,FCGR3A,1.3288104777493517,OR4B1,6.471550662455284,CAGE1,2.7810367840630756,LOC414300,0.3436833846925693,SSC4D,0.09480122293226978,BDP1,0.9121580954956272
18380,LINC00658,1.3287346063781509,XKR3,6.47088516390788,TRY2P,2.7809148292869525,LOC728047,0.34366619317565555,CAMTA1,0.09477570794673808,TAGLN3,0.9120496177012272
18381,GPR26,1.3287159794700119,TBX4,6.46940232303661,OR13D1,2.7809026805558412,PIGR,0.3436413029439111,DLX4,0.09476331309462117,ADH5,0.9120237729890661
18382,LETM2,1.3285188669225159,B3GALT5,6.4692807832628105,C8orf33,2.780838917804402,TNFSF18,0.3436311193332672,PLOD2,0.09474489458980964,SH3PXD2B,0.9119887231435105
18383,SUMO1,1.3284466418061616,OR5K4,6.468756519306829,OR1L6,2.780174606496844,GAGE6,0.34361342673583467,GOLGA8S,0.09472416255422027,MAGOH,0.9119013434527803
18384,RGS6,1.3283987670218957,LOC729966,6.468614761303776,LINC00229,2.7798408851692584,SHMT1,0.3436131644179526,ADGRG2,0.09471307028935524,NIBAN2,0.9118984969167332
18385,NTSR1,1.327764391564763,HSD17B3,6.468594784983905,RNF222,2.7796456730722636,psiTPTE22,0.3436049394293119,LOC100131756,0.09471190431466425,CASP16P,0.9118283833542552
18386,CYP4A11,1.327691099382595,VWA8-AS1,6.4684882356646645,ADAM5,2.7790852133744894,CCDC163,0.3436011240484096,OR7C2,0.09468870655313619,LEPROT,0.9117240727829943
18387,TNMD,1.3272043773339468,EMX2OS,6.468225331236296,PNLDC1,2.7790526510149873,FAM162A,0.3435869361145481,PABPN1L,0.09467531825396794,PLSCR4,0.9116340971922213
18388,MGAM2,1.3267544775767783,PRSS50,6.467972791174552,IFNA13,2.7787766290984885,LOC100287049,0.3435330904964137,GDF2,0.09465691096559717,PARL,0.9116254425552947
18389,LOC100130314,1.3263928423047633,EIF5AL1,6.467676555786265,DRP2,2.7785092562130744,LOC440082,0.3435125899644696,APOH,0.09462317202951671,NXF1,0.9113437544702029
18390,LINC01405,1.3260409023558868,CAMP,6.465532653099387,LOC162137,2.777742142436797,SHISA6,0.34350023134067237,CABLES1,0.09462222123049163,IRF2BP2,0.9112175436337041
18391,LOC387810,1.326005898881716,OR1M1,6.464266035287686,ASNS,2.7766674466968815,FLJ37786,0.3434839405681465,PTGER4P2-CDK2AP2P2,0.0946207961330367,STAC3,0.910931726803463
18392,BIRC5,1.3258720957123649,C2orf66,6.460604233723117,FAM209B,2.776652272885702,LAMB4,0.3434605940625523,CD81,0.09461914206589092,PRNP,0.9109211838941084
18393,LEUTX,1.3258576346529614,ZNF843,6.460512549486023,LY6G6E,2.7766465378996905,AHCYL2,0.34344227703963115,ECEL1,0.09458346591510168,LRRC19,0.9108732397222816
18394,LINC02145,1.325666847855126,INSM2,6.456233586960719,TREML1,2.776448969834703,FNDC8,0.3434225298499341,FANCD2OS,0.09453762194203078,GANAB,0.910843376303552
18395,ERVV-1,1.3255787281384244,CLEC4E,6.456203009528517,ASZ1,2.776129641974581,TSNAX-DISC1,0.34341509519486596,DCHS2,0.09453687755150286,PSMB9,0.9107726139460475
18396,GIPC3,1.3253316811914306,FLRT1,6.455346672839948,CEND1,2.7758452324137837,ADCYAP1R1,0.34338863167599254,LOC729164,0.09451603815197956,LOC400662,0.9106858395816679
18397,IFNA4,1.3250971047761193,EML5,6.454940473067156,OR2AT4,2.7757368252834795,SLC17A7,0.3433794527709195,TEDDM1,0.09451257652238788,LRRC42,0.9106582738454281
18398,C20orf204,1.324474937831446,MOV10L1,6.4547050876737,KLHL34,2.77555400172465,OR4C6,0.34336255142239414,DMRTA1,0.09450998494107302,CCDC177,0.9105215713218913
18399,CMA1,1.324409544868619,HEATR9,6.453685933990466,PVALEF,2.775336797056114,LINC02135,0.3433530968248254,ESCO2,0.09450123173403376,SPINK1,0.9103059454770702
