,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
119,FAM219A,0.8007189216053788,FAM219A,0.8007189216053788
120,ZNF429,0.8002052803857603,ZNF429,0.8002052803857603
121,NHLRC3,0.8000143779532556,NHLRC3,0.8000143779532556
122,ABHD14A,0.7999926029339849,ABHD14A,0.7999926029339849
123,PGAP2,0.7999141778592663,PGAP2,0.7999141778592663
124,KYAT1,0.7998958864763728,KYAT1,0.7998958864763728
125,IER5L,0.7997254717965825,IER5L,0.7997254717965825
126,GABARAPL1,0.7994853117137798,GABARAPL1,0.7994853117137798
127,ACSM1,0.798959887073398,ACSM1,0.798959887073398
128,CTU1,0.7989206553973052,CTU1,0.7989206553973052
129,SMG7,0.7985924012057904,SMG7,0.7985924012057904
130,BMPR2,0.7981542762028736,BMPR2,0.7981542762028736
